item_id,title,date,publisher,fids,fnames
6045584,BASINS,2004,"U.S. Environmental Protection Agency, Office of Water, Office of Science and Technology",FID2506,30000095211342.iso
6626094,Bicycle safety tips for adults,[2006],National Highway Traffic Safety Administration,FID1935,30000054680776.iso
5649324,Eyewitness evidence,[2003],"U.S. Dept. of Justice, Office of Justice Programs, National Institute of Justice",FID1864,30000083253538.iso
4234819,TIGER/line 1992,[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID3902,30000036885220.iso
1304387,Marine Corps planning process computer-based training course,[1998?],"United States Marine Corps, MSTP Center, Training and Education Division",FID938,30000061426536.iso
4234107,TIGER/line 1992,[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID1922,30000036885717.iso
4227593,"Census of Population and Housing, 1990",[1993],"U.S. Dept. of Commerce, Bureau of the Census, Data User Services Division",FID168,30000044928814.iso
4885762,"Publications from the National Center for Health Statistics, featuring Health, United States",2000-,NCHS,FID1847,30000053411777.iso
551739,U.S. Geological Survey coal quality (COALQUAL) database,1994,U.S. Geological Survey,FID2469,30000077392201.iso
5536418,1990 Census of Population and Housing Summary Tape File 3A--United States Summary,,,FID3947,30000082746417.iso
4259444,"National Survey of Family Growth, cycle IV",1995],"U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control and Prevention, National Center for Health Statistics",FID3381,30000044953648.iso
4260675,"Images of Kilauea East Rift zone eruption, 1983-1993",1995,"U.S. Dept. of the Interior, U.S. Geological Survey",FID3282,30000077392821.iso
4570203,Transportation data sampler,1993?],[The Bureau,FID3515,30000050015076.iso
5548823,Handbook of forensic services,1999-,Federal Bureau of Investigation,FID347,30000064988227.iso
4266244,Birth cohort linked birth/infant death data set,1995-,"U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control and Prevention, National Center for Health Statistics",FID2962|FID272|FID681|FID3857|FID2326|FID1896|FID691,30000044573016.iso|30000044573024.iso|30000036885972.iso|30000044871634.iso|30000047651017.iso|30000047651025.iso|30000047651033.iso
5525248,NHTSA/FHWA bicycle safety resource guide,[2000?],"U.S. Dept. of Transportation, National Highway Traffic Safety Administration, Federal Highway Administration",FID45,30000086269242.iso
